"","nx","ny","lat","lon","clima","gpp","ra","npp","rc","et","wue","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"3951",258,182,1.25,-50.75,"lowprec",1.16024389266968,1.26904001235962,0.473473998904228,142.401248168945,4.26740193367004,0.00690100016072392,0.20366799980402,4.65226802825928,0.386259898543358,0.631484091281891,3.63452436923981,3.18876249790192,23.7781591415405,3.57890989780426,0.292882996797562,0.299406096339226,0.407711002230644,-1.62760868177263,0.541592172426381,-0.0973172466261486,-0.178887377602389,0.0175554552959485,-9.06572426573327e-07
"3952",258,183,1.75,-50.75,"nclim",2.54891247749329,1.56032820940018,1.01902341842651,140.422933959961,4.13723850250244,0.00750700011849403,0.371069902181625,11.6109559059143,0.623263704776764,0.608482897281647,10.3792084693909,2.27688279151916,26.4026062011719,2.19389634132385,0.326166698336601,0.357643103599548,0.31618979871273,1.32027893920277,-0.0396511519766527,0.0777903511649163,0.0355104390470151,-0.0307788600703217,4.37663866625915e-06
"3953",258,183,1.75,-50.75,"lowprec",1.53250179290771,1.3236857175827,0.668388998508453,138.872607421875,4.14860033988953,0.00750700011849403,0.264344593882561,7.32281360626221,0.480396002531052,0.571767598390579,6.2706503868103,2.69857039451599,25.4507738113403,2.79304177761078,0.31261659860611,0.342699000239372,0.34468440413475,0.208517369904069,0.252684092381162,-0.0662174152539239,-0.0831310672536071,0.163021521636208,1.72504810477814e-07
"3954",258,184,2.25,-50.75,"nclim",2.34755840301514,1.51123900413513,0.972200202941895,145.064991760254,4.07502183914185,0.00715100020170212,0.35444749891758,11.1023575782776,0.611554300785065,0.575734293460846,9.91506490707397,2.32312421798706,26.5134922027588,2.19554808139801,0.328783193230629,0.355779990553856,0.31543650329113,1.32772632199031,-0.119537850635204,-0.0173429809041452,0.0829778654678967,-0.0294065740520239,3.48794617727188e-06
"3955",258,184,2.25,-50.75,"lowprec",1.72360521554947,1.36001418828964,0.768695402145386,144.262979125977,4.0807596206665,0.00715199997648597,0.293174305558205,8.57772264480591,0.529200011491776,0.547856897115707,7.50066194534302,2.55539758205414,25.7209648132324,2.47321119308472,0.319045698642731,0.351965299248695,0.328988802433014,0.727279709884514,0.100758518730236,0.019770228248341,0.0327859536481048,0.167148014872407,2.33602816973599e-06
"3956",258,185,2.75,-50.75,"nclim",2.23270611763,1.47643430233002,0.928330397605896,142.734432983398,4.01178970336914,0.00733300019055605,0.343668702244759,10.5914681434631,0.589513206481934,0.553742891550064,9.44821624755859,2.36162230968475,26.5562259674072,2.22228925228119,0.329454499483109,0.3541404992342,0.316404795646667,1.28663052530576,-0.141460034937039,-0.0742968350269558,0.100450897633806,-0.0272257999628611,2.36274066323094e-06
"3957",258,185,2.75,-50.75,"lowprec",1.62426708936691,1.32739899158478,0.733494293689728,141.890550231934,4.01773109436035,0.00733300019055605,0.283207401633263,8.19941234588623,0.513347807526588,0.526649302244186,7.15941281318665,2.60550391674042,25.7892101287842,2.50118200778961,0.319934898614883,0.350525000691414,0.329540303349495,0.688431820246813,0.0764064002216922,-0.0539003610821893,0.0581637808460408,0.179215984356743,-1.91972474272717e-06
"3958",258,186,3.25,-50.75,"nclim",2.098215508461,1.44805110692978,0.899253499507904,136.29962310791,3.96576051712036,0.00780599983409047,0.334823501110077,10.2315941810608,0.577462595701218,0.536828106641769,9.11730356216431,2.39332919120789,26.5703735351562,2.23958811759949,0.330948302149773,0.35230830013752,0.316743397712708,1.26348733043213,-0.197027991792079,-0.1298084296089,0.120347471215519,-0.0271927621772234,1.91124597981318e-07
"3959",258,186,3.25,-50.75,"lowprec",1.56988669633865,1.31022700071335,0.719527894258499,135.491354370117,3.9714795589447,0.00780700007453561,0.279057097434998,8.03209633827209,0.506296408176422,0.517114305496216,7.00868530273438,2.62581851482391,25.8162853240967,2.51475069522858,0.320800805091858,0.349388998746872,0.329810199141502,0.673366914028695,0.0466564704549712,-0.0928602106217535,0.0691560024401924,0.177554336942687,2.15476496312483e-07
"3960",258,187,3.75,-50.75,"nclim",1.99584966897964,1.42301629781723,0.870023792982101,144.96540222168,3.94279878139496,0.00717200012877584,0.326727399230003,9.88186416625977,0.56512890458107,0.525155305862427,8.79157466888428,2.42261698246002,26.5717500686645,2.26003232002258,0.331026402115822,0.351459297537804,0.317514398694038,1.22593826654674,-0.201501362396331,-0.15986171815067,0.130777489987987,-0.0169930114283637,-8.43198364741671e-07
"3961",258,187,3.75,-50.75,"lowprec",1.48182948827744,1.28454900979996,0.682904106378555,143.938661193848,3.94986126422882,0.00717269997112453,0.267700296640396,7.59886493682861,0.491150400042534,0.51133731007576,6.59637579917908,2.68279819488525,25.7919315338135,2.58651700019836,0.320479601621628,0.346628499031067,0.332892099022865,0.557748898214582,0.0456925378247345,-0.153511510933554,0.0672082627482568,0.184182359461194,-1.8624167355541e-06
